Weight	Self Weight		Symbol Name
4.00 ms    0.1%	2.00 ms	 	         decltype(std::declval<std::__1::__identity&>()(std::declval<float&>())) std::__1::__invoke[abi:v160006]<std::__1::__identity&, float&>(std::__1::__identity&, float&)
2.00 ms    0.0%	2.00 ms	 	          float& std::__1::__identity::operator()<float&>(float&) const
4.00 ms    0.1%	4.00 ms	 	         std::__1::__wrap_iter<float*>::operator*[abi:v160006]() const
2.00 ms    0.0%	2.00 ms	 	         decltype(std::declval<std::__1::__less<float, float>&>()(std::declval<float&>(), std::declval<float&>())) std::__1::__invoke[abi:v160006]<std::__1::__less<float, float>&, float&, float&>(std::__1::__less<float, float>&, float&, float&)
12.00 ms    0.3%	0 s	 	     std::__1::__wrap_iter<float*> std::__1::max_element[abi:v160006]<std::__1::__wrap_iter<float*>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>)
12.00 ms    0.3%	0 s	 	      std::__1::__wrap_iter<float*> std::__1::max_element[abi:v160006]<std::__1::__wrap_iter<float*>, std::__1::__less<float, float>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__less<float, float>)
12.00 ms    0.3%	2.00 ms	 	       std::__1::__wrap_iter<float*> std::__1::__max_element[abi:v160006]<std::__1::__less<float, float>&, std::__1::__wrap_iter<float*>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__less<float, float>&)
6.00 ms    0.1%	2.00 ms	 	        bool std::__1::operator!=[abi:v160006]<float*>(std::__1::__wrap_iter<float*> const&, std::__1::__wrap_iter<float*> const&)
4.00 ms    0.1%	3.00 ms	 	         bool std::__1::operator==[abi:v160006]<float*>(std::__1::__wrap_iter<float*> const&, std::__1::__wrap_iter<float*> const&)
1.00 ms    0.0%	1.00 ms	 	          std::__1::__wrap_iter<float*>::base[abi:v160006]() const
3.00 ms    0.0%	3.00 ms	 	        std::__1::__wrap_iter<float*>::operator*[abi:v160006]() const
1.00 ms    0.0%	1.00 ms	 	        std::__1::__less<float, float>::operator()[abi:v160006](float const&, float const&) const
11.00 ms    0.3%	0 s	 	     std::__1::vector<short, std::__1::allocator<short>>::vector(unsigned long)
11.00 ms    0.3%	0 s	 	      std::__1::vector<short, std::__1::allocator<short>>::vector(unsigned long)
11.00 ms    0.3%	3.00 ms	 	       std::__1::vector<short, std::__1::allocator<short>>::__construct_at_end(unsigned long)
6.00 ms    0.1%	2.00 ms	 	        std::__1::vector<short, std::__1::allocator<short>>::__alloc[abi:v160006]()
4.00 ms    0.1%	2.00 ms	 	         std::__1::__compressed_pair<short*, std::__1::allocator<short>>::second[abi:v160006]()
2.00 ms    0.0%	2.00 ms	 	          std::__1::__compressed_pair_elem<std::__1::allocator<short>, 1, true>::__get[abi:v160006]()
1.00 ms    0.0%	0 s	 	        void std::__1::allocator_traits<std::__1::allocator<short>>::construct[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
1.00 ms    0.0%	1.00 ms	 	         DYLD-STUB$$void std::__1::allocator<short>::construct[abi:v160006]<short>(short*)
1.00 ms    0.0%	1.00 ms	 	        DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<short>>::construct[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
9.00 ms    0.2%	0 s	 	     std::__1::vector<short, std::__1::allocator<short>>::~vector[abi:v160006]()
9.00 ms    0.2%	0 s	 	      std::__1::vector<short, std::__1::allocator<short>>::~vector[abi:v160006]()
9.00 ms    0.2%	0 s	 	       std::__1::vector<short, std::__1::allocator<short>>::__destroy_vector::operator()[abi:v160006]()
9.00 ms    0.2%	0 s	 	        std::__1::vector<short, std::__1::allocator<short>>::__clear[abi:v160006]()
9.00 ms    0.2%	3.00 ms	 	         std::__1::vector<short, std::__1::allocator<short>>::__base_destruct_at_end[abi:v160006](short*)
4.00 ms    0.1%	2.00 ms	 	          std::__1::vector<short, std::__1::allocator<short>>::__alloc[abi:v160006]()
2.00 ms    0.0%	2.00 ms	 	           std::__1::__compressed_pair<short*, std::__1::allocator<short>>::second[abi:v160006]()
1.00 ms    0.0%	1.00 ms	 	          DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<short>>::destroy[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
1.00 ms    0.0%	0 s	 	          void std::__1::allocator_traits<std::__1::allocator<short>>::destroy[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
1.00 ms    0.0%	1.00 ms	 	           std::__1::allocator<short>::destroy[abi:v160006](short*)
5.00 ms    0.1%	2.00 ms	 	     float const& std::__1::max[abi:v160006]<float>(float const&, float const&)
3.00 ms    0.0%	2.00 ms	 	      float const& std::__1::max[abi:v160006]<float, std::__1::__less<float, float>>(float const&, float const&, std::__1::__less<float, float>)
1.00 ms    0.0%	1.00 ms	 	       std::__1::__less<float, float>::operator()[abi:v160006](float const&, float const&) const
3.00 ms    0.0%	3.00 ms	 	     std::__1::vector<float, std::__1::allocator<float>>::operator[][abi:v160006](unsigned long)
3.00 ms    0.0%	2.00 ms	 	     float const& std::__1::min[abi:v160006]<float>(float const&, float const&)
1.00 ms    0.0%	0 s	 	      float const& std::__1::min[abi:v160006]<float, std::__1::__less<float, float>>(float const&, float const&, std::__1::__less<float, float>)
1.00 ms    0.0%	1.00 ms	 	       std::__1::__less<float, float>::operator()[abi:v160006](float const&, float const&) const
1.00 ms    0.0%	0 s	 	     std::__1::basic_ostream<char, std::__1::char_traits<char>>& std::__1::operator<<[abi:v160006]<std::__1::char_traits<char>>(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, char const*)
1.00 ms    0.0%	0 s	 	      std::__1::basic_ostream<char, std::__1::char_traits<char>>& std::__1::__put_character_sequence[abi:v160006]<char, std::__1::char_traits<char>>(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, char const*, unsigned long)
1.00 ms    0.0%	1.00 ms	 	       std::__1::ios_base::flags[abi:v160006]() const
1.00 ms    0.0%	0 s	 	     fwrite
1.00 ms    0.0%	0 s	 	      __sfvwrite
1.00 ms    0.0%	0 s	 	       _swrite
1.00 ms    0.0%	0 s	 	        __swrite
1.00 ms    0.0%	1.00 ms	 	         __write_nocancel
1.00 ms    0.0%	1.00 ms	 	     std::__1::vector<short, std::__1::allocator<short>>::operator[][abi:v160006](unsigned long)
42.00 ms    1.1%	4.00 ms	 	    Convolve::WavFile::read(char const*)
13.00 ms    0.3%	0 s	 	     std::__1::vector<float, std::__1::allocator<float>>::resize(unsigned long)
13.00 ms    0.3%	0 s	 	      std::__1::vector<float, std::__1::allocator<float>>::__append(unsigned long)
13.00 ms    0.3%	7.00 ms	 	       std::__1::__split_buffer<float, std::__1::allocator<float>&>::__construct_at_end(unsigned long)
3.00 ms    0.0%	3.00 ms	 	        std::__1::__split_buffer<float, std::__1::allocator<float>&>::__alloc[abi:v160006]()
2.00 ms    0.0%	1.00 ms	 	        void std::__1::allocator_traits<std::__1::allocator<float>>::construct[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
1.00 ms    0.0%	1.00 ms	 	         void std::__1::allocator<float>::construct[abi:v160006]<float>(float*)
1.00 ms    0.0%	1.00 ms	 	        DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<float>>::construct[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
12.00 ms    0.3%	0 s	 	     std::__1::vector<short, std::__1::allocator<short>>::vector(unsigned long)
12.00 ms    0.3%	0 s	 	      std::__1::vector<short, std::__1::allocator<short>>::vector(unsigned long)
12.00 ms    0.3%	2.00 ms	 	       std::__1::vector<short, std::__1::allocator<short>>::__construct_at_end(unsigned long)
5.00 ms    0.1%	4.00 ms	 	        std::__1::vector<short, std::__1::allocator<short>>::__alloc[abi:v160006]()
1.00 ms    0.0%	1.00 ms	 	         std::__1::__compressed_pair<short*, std::__1::allocator<short>>::second[abi:v160006]()
2.00 ms    0.0%	0 s	 	        void std::__1::allocator_traits<std::__1::allocator<short>>::construct[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
1.00 ms    0.0%	1.00 ms	 	         void std::__1::allocator<short>::construct[abi:v160006]<short>(short*)
1.00 ms    0.0%	1.00 ms	 	         DYLD-STUB$$void std::__1::allocator<short>::construct[abi:v160006]<short>(short*)
2.00 ms    0.0%	2.00 ms	 	        short* std::__1::__to_address[abi:v160006]<short>(short*)
1.00 ms    0.0%	1.00 ms	 	        DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<short>>::construct[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
11.00 ms    0.3%	0 s	 	     std::__1::vector<short, std::__1::allocator<short>>::~vector[abi:v160006]()
11.00 ms    0.3%	0 s	 	      std::__1::vector<short, std::__1::allocator<short>>::~vector[abi:v160006]()
11.00 ms    0.3%	0 s	 	       std::__1::vector<short, std::__1::allocator<short>>::__destroy_vector::operator()[abi:v160006]()
11.00 ms    0.3%	0 s	 	        std::__1::vector<short, std::__1::allocator<short>>::__clear[abi:v160006]()
11.00 ms    0.3%	5.00 ms	 	         std::__1::vector<short, std::__1::allocator<short>>::__base_destruct_at_end[abi:v160006](short*)
3.00 ms    0.0%	3.00 ms	 	          void std::__1::allocator_traits<std::__1::allocator<short>>::destroy[abi:v160006]<short, void>(std::__1::allocator<short>&, short*)
3.00 ms    0.0%	1.00 ms	 	          std::__1::vector<short, std::__1::allocator<short>>::__alloc[abi:v160006]()
